,id,name,stable,win_count,second_place_count,third_place_count,unplaced_count,grade_race_count,grade_race_win,stakes_race_count,stakes_race_win,general_race_count,general_race_win,turf_race_count,turf_race_win,dart_race_count,dart_race_win,win_ratio,in_second_place_ratio,in_third_place_ratio,prize
38,01085,小崎憲,栗東,9,4,5,60,0,0,20,0,58,9,27,0,49,9,0.115,0.167,0.231,11032.7
39,01021,池添兼雄,栗東,9,3,11,65,7,1,18,3,63,5,46,5,42,4,0.102,0.136,0.261,22290.5
40,00388,山内研二,栗東,8,13,7,83,0,0,35,2,76,6,33,2,75,5,0.072,0.189,0.252,15350.6
41,01074,奥平雅士,美浦,8,10,4,58,0,0,15,3,65,5,18,2,62,6,0.1,0.225,0.275,10987.6
42,01130,吉村圭司,栗東,8,9,7,53,3,0,15,3,59,5,44,4,33,4,0.104,0.221,0.312,13896.4
43,01095,荒川義之,栗東,8,9,5,74,4,0,13,0,79,8,45,3,50,5,0.083,0.177,0.229,11603.6
44,01046,鮫島一歩,栗東,8,8,8,69,6,0,24,1,63,7,50,5,43,3,0.086,0.172,0.258,13352.6
45,01107,村山明,栗東,8,7,9,78,3,0,16,3,83,5,25,0,77,8,0.078,0.147,0.235,14294.2
46,01158,寺島良,栗東,8,6,5,77,2,0,25,2,69,6,45,3,48,5,0.083,0.146,0.198,11008.3
47,01134,高橋文雅,美浦,8,5,3,65,2,0,15,3,64,5,29,5,47,2,0.099,0.16,0.198,10441.5
48,01146,奥村豊,栗東,7,10,13,54,0,0,19,2,65,5,41,2,43,5,0.083,0.202,0.357,13478.1
49,01016,西浦勝一,栗東,7,9,10,69,5,1,20,1,70,5,55,4,40,3,0.074,0.168,0.274,15355.9
50,01147,武井亮,美浦,7,9,7,62,4,0,16,2,65,5,34,3,44,4,0.082,0.188,0.271,14559.5
51,01048,畠山吉宏,美浦,7,9,6,61,5,1,15,2,63,4,47,3,32,2,0.084,0.193,0.265,19152.2
