,id,name,win_count,second_place_count,third_place_count,unplaced_count,grade_race_count,grade_race_win,stakes_race_count,stakes_race_win,general_race_count,general_race_win,turf_race_count,turf_race_win,dart_race_count,dart_race_win,win_ratio,in_second_place_ratio,in_third_place_ratio,prize
134,o_0EVZRTTEFkM,増田雄一,1,3,3,33,0,0,10,0,30,1,18,0,19,1,0.025,0.1,0.175,3638.4
135,o_8ERZBzTEF0d,ディアマント,3,0,2,18,0,0,5,1,18,2,8,2,15,1,0.13,0.13,0.217,3548.7
136,o_0EVjlXTEFUe,池谷誠一,1,0,2,15,3,0,5,0,10,1,7,0,11,1,0.056,0.056,0.167,3529.5
137,o_0ERNl3TEF0d,ローレルレーシング,2,1,3,41,0,0,5,1,42,1,9,0,38,2,0.043,0.064,0.128,3529.2
138,o_0ERJBjT6F0d,長良レーシングクラブ,2,0,2,7,0,0,5,1,6,1,3,1,8,1,0.182,0.182,0.364,3521.3
139,o_0ERNpnT6F0d,アポロサラブレッドクラブ,2,5,6,19,1,0,4,0,27,2,5,0,27,2,0.062,0.219,0.406,3497.9
140,o_4karFTTEFEM,内村正則,4,0,1,23,0,0,12,0,16,4,14,2,14,2,0.143,0.143,0.179,3492.0
141,o_0keNBTTEFUN,小田切有一,2,1,4,57,1,0,22,0,41,2,38,0,26,2,0.031,0.047,0.109,3440.6
142,o_8EVBhXTEF0M,冨樫賢二,2,0,2,16,2,0,2,1,16,1,4,1,16,1,0.1,0.1,0.2,3383.1
143,o_8EVJlXTE10d,丸山担,3,1,3,12,1,0,2,0,16,3,7,0,12,3,0.158,0.211,0.368,3378.8
144,o_8ERNdXTE1ke,巴山尊文,1,3,0,0,0,0,4,1,0,0,4,1,0,0,0.25,1.0,1.0,3369.8
145,o_0kejdXTEFEN,岡浩二,2,2,3,31,3,0,4,0,31,2,15,2,20,0,0.053,0.105,0.184,3350.0
146,o_8ERVh3TEF0d,フジイ興産,3,2,0,7,0,0,4,1,8,2,5,1,7,2,0.25,0.417,0.417,3336.3
147,o_8ERJp3TEF0d,ヒルノ,2,3,1,11,1,0,4,0,12,2,4,0,13,2,0.118,0.294,0.353,3326.4
148,o_0keBl3TEF0d,辻牧場,0,2,1,5,1,0,5,0,2,0,8,0,0,0,0.0,0.25,0.375,3233.4
149,o_0kejlXTEFkM,近藤英子,2,1,3,13,1,0,4,1,14,1,16,2,3,0,0.105,0.158,0.316,3217.8
150,o_0ERjRTTEFkM,畑佐博,2,1,2,38,1,0,14,1,28,1,30,2,13,0,0.047,0.07,0.116,3211.3
151,o_8ERNlXTEFEN,平本敏夫,1,4,1,14,0,0,3,0,17,1,1,0,19,1,0.05,0.25,0.3,3205.0
152,o_4ERrFTTEFUM,伊東政清,1,2,0,6,0,0,6,1,3,0,2,1,7,0,0.111,0.333,0.333,3204.7
153,o_0kerpXTEFUe,南波壽,1,0,3,8,0,0,7,1,5,0,0,0,12,1,0.083,0.083,0.333,3172.8
154,o_8EVJNTTE1ke,日下部猛,3,0,1,9,0,0,2,0,11,3,5,1,8,2,0.231,0.231,0.308,3150.0
155,o_8EVrdXTE1ke,仲山誉志夫,1,1,0,6,0,0,5,1,3,0,0,0,8,1,0.125,0.25,0.25,3132.8
156,o_0EVVhXTEFkM,吉田和子,3,1,1,14,2,0,6,0,11,3,6,0,13,3,0.158,0.211,0.263,3115.0
157,o_8EVFJTTE1ke,服部邦繁,2,0,0,1,0,0,2,1,1,1,0,0,3,2,0.667,0.667,0.667,3113.8
158,o_0kejp3TEF0d,大野商事,2,3,1,14,0,0,7,0,13,2,5,0,15,2,0.1,0.25,0.3,3098.1
159,o_4EVndXTEF0M,相馬勇,2,2,1,39,2,0,10,0,32,2,12,0,32,2,0.045,0.091,0.114,3090.0
160,o_0ERVp3TEFke,杉山忠国,1,4,5,29,2,0,5,0,32,1,14,0,25,1,0.026,0.128,0.256,3063.0
161,o_0ERJJzTEFke,ＤＭＭドリームクラブ,1,0,0,2,1,0,1,1,1,0,3,1,0,0,0.333,0.333,0.333,3019.6
162,o_0ERRhXTEFUe,前田晋二,2,4,2,20,2,0,9,0,17,2,8,1,19,1,0.071,0.214,0.286,2985.0
163,o_0ERNd3TEFke,コスモヴューファーム,1,4,6,26,0,0,8,0,29,1,17,0,20,1,0.027,0.135,0.297,2975.0
164,o_4kaVJTTE1ke,菊地祐司,1,0,2,17,1,0,2,1,17,0,7,1,13,0,0.05,0.05,0.15,2943.0
165,o_8ERFdXTEFEN,坂巻勝彦,1,1,0,4,0,0,4,1,2,0,0,0,6,1,0.167,0.333,0.333,2936.8
166,o_8ERNh3TEF0d,青芝商事,1,2,1,10,1,0,3,0,10,1,2,0,12,1,0.071,0.214,0.286,2933.3
167,o_8EVndXTE1ke,了徳寺健二,2,0,1,27,0,0,3,1,27,1,15,1,15,1,0.067,0.067,0.1,2933.0
168,o_8ERjNzTEF0d,ラ・メール,2,0,3,26,1,0,7,0,23,2,10,0,21,2,0.065,0.065,0.161,2920.0
169,o_0ERRhXTEFEN,下河邉行雄,3,1,1,8,2,0,5,0,6,3,8,1,5,2,0.231,0.308,0.385,2919.0
170,o_0ERrFjT6F0d,コウトミックレーシング,2,1,0,17,0,0,6,1,14,1,12,1,8,1,0.1,0.15,0.15,2848.4
171,o_0EVFpXTE10d,坂本浩一,2,1,3,1,0,0,1,0,6,2,1,1,3,1,0.286,0.429,0.857,2825.1
172,o_4keZRTTEFkM,薪浦亨,1,3,2,16,3,0,3,0,16,1,7,0,15,1,0.045,0.182,0.273,2813.8
173,o_4ERjVzTEF0d,ダイリン,1,1,1,5,0,0,6,1,2,0,2,1,6,0,0.125,0.25,0.375,2761.8
174,o_0ERnpXTEFkM,瀧本和義,1,1,0,9,2,0,2,1,7,0,8,1,3,0,0.091,0.182,0.182,2735.2
175,o_0EVZVTTEFEN,山田和夫,0,0,0,8,2,0,2,0,4,0,3,0,5,0,0.0,0.0,0.0,2730.0
176,o_0keNRTTEF0M,村野康司,2,2,0,55,0,0,10,0,49,2,26,0,32,2,0.034,0.068,0.068,2685.0
177,o_8ERrBTTE10d,村上憲政,1,4,0,23,0,0,4,0,24,1,0,0,28,1,0.036,0.179,0.179,2677.4
178,o_0keZNTTE1ke,杉浦和也,1,3,3,24,0,0,4,0,27,1,12,0,16,1,0.032,0.129,0.226,2666.5
179,o_8EVZFzTEF0d,東豊物産,3,1,2,29,0,0,7,0,28,3,23,2,12,1,0.086,0.114,0.171,2665.0
180,o_8ERVhXTEF0M,山上和良,1,2,1,31,1,0,6,0,28,1,8,0,25,1,0.029,0.086,0.114,2660.0
181,o_4ERRBTTE10d,太田珠々子,1,0,1,5,1,0,1,0,5,1,2,0,5,1,0.143,0.143,0.286,2655.0
182,o_0ERVVjT6F0d,ユアストーリー,2,1,1,5,0,0,1,0,8,2,4,1,5,1,0.222,0.333,0.444,2650.0
183,o_0kaRdXTEFUM,山田博康,1,1,2,12,3,0,3,1,10,0,7,1,9,0,0.062,0.125,0.25,2638.5
184,o_0kajBTTEFUe,浅沼廣幸,2,1,4,59,0,0,7,0,59,2,23,0,43,2,0.03,0.045,0.106,2622.0
185,o_8ERVlXTE10d,佐々木雄二,2,1,0,9,1,0,4,0,7,2,4,1,7,1,0.167,0.25,0.25,2590.0
186,o_0ERnVzTEFke,了徳寺健二ホールディングス,2,1,2,32,3,0,3,1,31,1,17,1,20,1,0.054,0.081,0.135,2569.3
187,o_0ERFRjT6F0d,ロイヤルパーク,3,1,0,22,0,0,2,0,24,3,7,1,19,2,0.115,0.154,0.154,2540.0
188,o_4keZp3TEF0d,協和牧場,2,1,1,21,2,0,4,0,19,2,6,0,19,2,0.08,0.12,0.16,2530.0
189,o_4EVBFTTEF0M,西川恭子,1,1,1,10,0,0,5,1,8,0,1,0,12,1,0.077,0.154,0.231,2525.9
190,o_0keNRTTEFEN,北前孔一郎,1,0,1,25,0,0,5,1,22,0,7,0,20,1,0.037,0.037,0.074,2485.6
191,o_4keFl3TEF0d,オースミ,2,2,1,26,1,0,7,0,23,2,15,1,15,1,0.065,0.129,0.161,2480.0
192,o_4EVNhXTEFkM,小林昌志,2,3,2,27,1,0,11,0,22,2,11,1,21,1,0.059,0.147,0.206,2470.0
