,id,name,race_horse_count,win_horse_count,race_count,win_count,grade_race_count,grade_race_win,stakes_race_count,stakes_race_win,general_race_count,general_race_win,turf_race_count,turf_race_win,dart_race_count,dart_race_win,win_ratio,earning_index,avg_turf_distance,avg_dart_distance
396,1998101457,メジロベイリー,1,0,3,0,0,0,0,0,3,0,0,0,3,0,0.0,1.42,0.0,0.0
397,000a011ff9,Privately Held,1,0,4,0,0,0,0,0,4,0,2,0,2,0,0.0,1.38,0.0,0.0
398,1997110043,タップダンスシチー,3,0,7,0,0,0,0,0,7,0,1,0,6,0,0.0,0.46,0.0,0.0
399,000a002270,Forestry,4,0,8,0,0,0,0,0,8,0,4,0,4,0,0.0,0.34,0.0,0.0
400,000a012049,Layman,2,0,3,0,0,0,2,0,1,0,2,0,0,0,0.0,0.68,0.0,0.0
401,1997103699,アドマイヤボス,1,0,5,0,0,0,0,0,5,0,0,0,5,0,0.0,1.32,0.0,0.0
402,000a000d4b,エブロス,2,0,5,0,0,0,0,0,5,0,1,0,4,0,0.0,0.66,0.0,0.0
403,000a000d8a,ソウルオブザマター,3,0,6,0,0,0,0,0,6,0,0,0,6,0,0.0,0.44,0.0,0.0
404,000a0003c7,トウショウボーイ,4,0,12,0,0,0,4,0,8,0,2,0,6,0,0.0,0.33,0.0,0.0
405,1994109717,プレミアムサンダー,1,0,2,0,0,0,0,0,2,0,0,0,2,0,0.0,1.32,0.0,0.0
406,1986109108,ゴールデンフェザント,3,0,10,0,0,0,4,0,6,0,4,0,6,0,0.0,0.41,0.0,0.0
407,000a01132a,Candy Ride,1,0,2,0,0,0,0,0,2,0,0,0,2,0,0.0,1.2,0.0,0.0
408,000a001d84,Rubiano,3,0,9,0,0,0,3,0,6,0,4,0,5,0,0.0,0.39,0.0,0.0
409,1999106721,プレシャスカフェ,3,0,6,0,0,0,0,0,6,0,1,0,5,0,0.0,0.39,0.0,0.0
410,000a00fe3c,Candy Stripes,2,0,3,0,0,0,0,0,3,0,3,0,0,0,0.0,0.55,0.0,0.0
411,000a01109a,Chapel Royal,1,0,5,0,0,0,0,0,5,0,4,0,1,0,0.0,1.05,0.0,0.0
412,000a0123e7,Sightseeing,1,0,3,0,0,0,0,0,3,0,3,0,0,0,0.0,1.05,0.0,0.0
413,000a000221,マイニング,8,0,18,0,0,0,6,0,12,0,5,0,13,0,0.0,0.13,0.0,0.0
414,2000101557,スパイキュール,2,0,4,0,0,0,2,0,2,0,2,0,2,0,0.0,0.52,0.0,0.0
415,000a00fe3b,グランデラ,3,0,10,0,0,0,0,0,10,0,1,0,9,0,0.0,0.32,0.0,0.0
416,000a011ff4,Concorde's Tune,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0.0,0.94,0.0,0.0
417,000a00193d,Lord at War,1,0,2,0,0,0,1,0,1,0,2,0,0,0,0.0,0.94,0.0,0.0
418,000a002167,Olympio,1,0,4,0,0,0,3,0,1,0,4,0,0,0,0.0,0.94,0.0,0.0
419,000a00fdb2,Pleasant Tap,3,0,7,0,0,0,3,0,4,0,4,0,2,0,0.0,0.31,0.0,0.0
420,000a002215,Potrillazo,1,0,2,0,0,0,1,0,1,0,2,0,0,0,0.0,0.94,0.0,0.0
421,000a002220,Siphon,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0.0,0.94,0.0,0.0
422,000a000d1d,グランドオペラ,1,0,3,0,0,0,0,0,3,0,0,0,3,0,0.0,0.94,0.0,0.0
423,1996110113,メイショウドトウ,2,0,3,0,0,0,0,0,3,0,1,0,2,0,0.0,0.47,0.0,0.0
424,000a000d71,ロドリゴデトリアーノ,4,0,8,0,0,0,1,0,7,0,4,0,4,0,0.0,0.24,0.0,0.0
425,000a000da0,ヴィクトリースピーチ,2,0,5,0,0,0,0,0,5,0,0,0,5,0,0.0,0.47,0.0,0.0
426,1997110152,ノボジャック,3,0,8,0,0,0,0,0,8,0,4,0,4,0,0.0,0.31,0.0,0.0
427,000a010a76,Areion,2,0,3,0,0,0,0,0,3,0,3,0,0,0,0.0,0.46,0.0,0.0
428,000a010db9,Shirocco,2,0,4,0,1,0,2,0,1,0,4,0,0,0,0.0,0.46,0.0,0.0
429,000a010533,Doyen,3,0,5,0,0,0,0,0,5,0,4,0,1,0,0.0,0.29,0.0,0.0
430,1994108411,メジロブライト,3,0,8,0,0,0,0,0,8,0,4,0,0,0,0.0,0.29,0.0,0.0
431,000a0022d4,Victory Gallop,2,0,4,0,0,0,0,0,4,0,3,0,1,0,0.0,0.43,0.0,0.0
432,1997100569,アッミラーレ,3,0,4,0,0,0,0,0,4,0,1,0,3,0,0.0,0.29,0.0,0.0
433,000a0000bf,クロコルージュ,4,0,7,0,0,0,0,0,7,0,2,0,5,0,0.0,0.22,0.0,0.0
434,000a002286,Alphabet Soup,3,0,8,0,0,0,0,0,8,0,1,0,7,0,0.0,0.28,0.0,0.0
435,000a01074e,Put It Back,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0.0,0.85,0.0,0.0
436,000a0021ca,Swain,2,0,3,0,1,0,1,0,1,0,3,0,0,0,0.0,0.42,0.0,0.0
437,000a00176e,Green Forest,1,0,3,0,0,0,3,0,0,0,3,0,0,0,0.0,0.84,0.0,0.0
438,000a0021e1,Concern,2,0,6,0,0,0,0,0,6,0,0,0,6,0,0.0,0.42,0.0,0.0
439,000a001ce7,Nashwan,3,0,4,0,0,0,1,0,3,0,1,0,2,0,0.0,0.28,0.0,0.0
440,1995104468,スエヒロコマンダー,3,0,7,0,0,0,0,0,7,0,0,0,7,0,0.0,0.28,0.0,0.0
441,000a001e93,Broad Brush,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0.82,0.0,0.0
442,000a0001a6,ジェイドハンター,4,0,5,0,0,0,2,0,3,0,3,0,2,0,0.0,0.2,0.0,0.0
443,000a011fef,Sligo Bay,1,0,3,0,0,0,0,0,3,0,3,0,0,0,0.0,0.72,0.0,0.0
